rootId,root,childId,child,incremental visits
0,Contribution_co-author,33,Regular_author,1
33,Regular_author,33,Regular_author,2
1,Conference_www,1,Conference_www,2
2,Active_conference_participant,34,Conference_contributor,1
34,Conference_contributor,40,Person,1
40,Person,40,Person,2
3,Contribution_1th-author,33,Regular_author,3
33,Regular_author,33,Regular_author,4
4,Extended_abstract,52,Regular_contribution,1
52,Regular_contribution,52,Regular_contribution,2
5,Accepted_contribution,24,Reviewed_contribution,1
24,Reviewed_contribution,11,Submitted_contribution,1
11,Submitted_contribution,21,Written_contribution,1
21,Written_contribution,41,Conference_contribution,1
41,Conference_contribution,41,Conference_contribution,2
6,Conference_part,6,Conference_part,2
7,Track,7,Track,2
8,Paper,52,Regular_contribution,3
52,Regular_contribution,21,Written_contribution,2
21,Written_contribution,21,Written_contribution,3
9,Track-workshop_chair,40,Person,3
40,Person,40,Person,4
10,Review_preference,10,Review_preference,2
11,Submitted_contribution,21,Written_contribution,4
21,Written_contribution,41,Conference_contribution,3
41,Conference_contribution,49,Conference_document,1
49,Conference_document,49,Conference_document,2
12,Invited_speaker,34,Conference_contributor,2
34,Conference_contributor,40,Person,5
40,Person,40,Person,6
13,Reviewer,40,Person,7
40,Person,40,Person,8
14,Committee,14,Committee,2
15,Chair,15,Chair,2
16,Review,16,Review,2
17,Information_for_participants,49,Conference_document,3
49,Conference_document,49,Conference_document,4
18,Conference_applicant,40,Person,9
40,Person,40,Person,10
19,Registeered_applicant,19,Registeered_applicant,2
20,Rejected_contribution,20,Rejected_contribution,2
21,Written_contribution,41,Conference_contribution,4
41,Conference_contribution,41,Conference_contribution,5
22,Early_paid_applicant,22,Early_paid_applicant,2
23,Conference_proceedings,23,Conference_proceedings,2
24,Reviewed_contribution,24,Reviewed_contribution,3
25,Camera_ready_contribution,5,Accepted_contribution,2
5,Accepted_contribution,24,Reviewed_contribution,4
24,Reviewed_contribution,24,Reviewed_contribution,5
26,Conference_participant,26,Conference_participant,2
27,Committee_member,40,Person,11
40,Person,40,Person,12
28,Publisher,28,Publisher,2
29,Review_expertise,29,Review_expertise,2
30,Presentation,41,Conference_contribution,6
41,Conference_contribution,41,Conference_contribution,7
31,Conference_volume,47,Conference,1
47,Conference,47,Conference,2
32,Tutorial,32,Tutorial,2
33,Regular_author,33,Regular_author,6
34,Conference_contributor,40,Person,13
40,Person,40,Person,14
35,Abstract,35,Abstract,2
