nodeId,nodeName,nodeType,nodeLevel,loop,hop
0,has_parts,Property,-1,0,0
0,has_parts,Property,-1,0,0
1,is_given_by,Property,-1,0,0
1,is_given_by,Property,-1,0,0
2,was_a_committee_chair_of,Property,-1,0,0
2,was_a_committee_chair_of,Property,-1,0,0
3,was_a_program_committee_of,Property,-1,0,0
3,was_a_program_committee_of,Property,-1,0,0
4,is_submitted_at,Property,-1,0,0
4,is_submitted_at,Property,-1,0,0
5,belong_to_a_conference_volume,Property,-1,0,0
5,belong_to_a_conference_volume,Property,-1,0,0
6,has_a_review,Property,-1,0,0
6,has_a_review,Property,-1,0,0
7,belongs_to_reviewers,Property,-1,0,0
7,belongs_to_reviewers,Property,-1,0,0
8,has_a_review_expertise,Property,-1,0,0
8,has_a_review_expertise,Property,-1,0,0
9,invites_co-reviewers,Property,-1,0,0
9,invites_co-reviewers,Property,-1,0,0
10,has_tutorials,Property,-1,0,0
10,has_tutorials,Property,-1,0,0
11,has_a_track-workshop-tutorial_topic,Property,-1,0,0
11,has_a_track-workshop-tutorial_topic,Property,-1,0,0
12,has_an_organizing_committee,Property,-1,0,0
12,has_an_organizing_committee,Property,-1,0,0
13,is_part_of_conference_volumes,Property,-1,0,0
13,is_part_of_conference_volumes,Property,-1,0,0
14,has_a_steering_committee,Property,-1,0,0
32,has_a_commtitee,Property,-1,0,0
32,has_a_commtitee,Property,-1,0,1
15,has_a_committee_chair,Property,-1,0,0
15,has_a_committee_chair,Property,-1,0,0
16,invited_by,Property,-1,0,0
16,invited_by,Property,-1,0,0
17,has_workshops,Property,-1,0,0
17,has_workshops,Property,-1,0,0
18,has_contributions,Property,-1,0,0
18,has_contributions,Property,-1,0,0
19,has_tracks,Property,-1,0,0
0,has_parts,Property,-1,0,0
0,has_parts,Property,-1,0,1
20,was_a_steering_committee_of,Property,-1,0,0
20,was_a_steering_committee_of,Property,-1,0,0
21,is_a_topis_of_conference_parts,Property,-1,0,0
21,is_a_topis_of_conference_parts,Property,-1,0,0
22,was_a_track-workshop_chair_of,Property,-1,0,0
22,was_a_track-workshop_chair_of,Property,-1,0,0
23,has_a_program_committee,Property,-1,0,0
32,has_a_commtitee,Property,-1,0,0
32,has_a_commtitee,Property,-1,0,1
24,has_a_track-workshop-tutorial_chair,Property,-1,0,0
24,has_a_track-workshop-tutorial_chair,Property,-1,0,0
25,has_a_review_reference_or_expertise,Property,-1,0,0
25,has_a_review_reference_or_expertise,Property,-1,0,0
26,gives_presentations,Property,-1,0,0
26,gives_presentations,Property,-1,0,0
27,has_a_committee_co-chair,Property,-1,0,0
27,has_a_committee_co-chair,Property,-1,0,0
28,has_a_topic_or_a_submission_contribution,Property,-1,0,0
28,has_a_topic_or_a_submission_contribution,Property,-1,0,0
29,has_members,Property,-1,0,0
29,has_members,Property,-1,0,0
30,contributes,Property,-1,0,0
30,contributes,Property,-1,0,0
31,was_a_committe_co-chair_of,Property,-1,0,0
40,was_a_member_of,Property,-1,0,0
40,was_a_member_of,Property,-1,0,1
32,has_a_commtitee,Property,-1,0,0
32,has_a_commtitee,Property,-1,0,0
33,has_been_assigned_a_review_reference,Property,-1,0,0
33,has_been_assigned_a_review_reference,Property,-1,0,0
34,was_an_organizing_committee_of,Property,-1,0,0
34,was_an_organizing_committee_of,Property,-1,0,0
35,has_a_submitted_contribution,Property,-1,0,0
35,has_a_submitted_contribution,Property,-1,0,0
36,has_a_publisher,Property,-1,0,0
36,has_a_publisher,Property,-1,0,0
37,is_the_1th_part_of,Property,-1,0,0
37,is_the_1th_part_of,Property,-1,0,0
38,was_a_committee_of,Property,-1,0,0
38,was_a_committee_of,Property,-1,0,0
39,reviews,Property,-1,0,0
39,reviews,Property,-1,0,0
40,was_a_member_of,Property,-1,0,0
40,was_a_member_of,Property,-1,0,0
41,issues,Property,-1,0,0
41,issues,Property,-1,0,0
42,has_authors,Property,-1,0,0
42,has_authors,Property,-1,0,0
43,belongs_to_a_review_reference,Property,-1,0,0
43,belongs_to_a_review_reference,Property,-1,0,0
44,has_important_dates,Property,-1,0,0
44,has_important_dates,Property,-1,0,0
45,has_an_abstract,Property,-1,0,0
45,has_an_abstract,Property,-1,0,0
0,has_parts,Property,-1,1,0
0,has_parts,Property,-1,1,0
1,is_given_by,Property,-1,1,0
1,is_given_by,Property,-1,1,0
2,was_a_committee_chair_of,Property,-1,1,0
40,was_a_member_of,Property,-1,1,0
40,was_a_member_of,Property,-1,1,1
3,was_a_program_committee_of,Property,-1,1,0
3,was_a_program_committee_of,Property,-1,1,0
4,is_submitted_at,Property,-1,1,0
4,is_submitted_at,Property,-1,1,0
5,belong_to_a_conference_volume,Property,-1,1,0
5,belong_to_a_conference_volume,Property,-1,1,0
6,has_a_review,Property,-1,1,0
6,has_a_review,Property,-1,1,0
7,belongs_to_reviewers,Property,-1,1,0
7,belongs_to_reviewers,Property,-1,1,0
8,has_a_review_expertise,Property,-1,1,0
8,has_a_review_expertise,Property,-1,1,0
9,invites_co-reviewers,Property,-1,1,0
9,invites_co-reviewers,Property,-1,1,0
10,has_tutorials,Property,-1,1,0
0,has_parts,Property,-1,1,0
0,has_parts,Property,-1,1,1
11,has_a_track-workshop-tutorial_topic,Property,-1,1,0
11,has_a_track-workshop-tutorial_topic,Property,-1,1,0
12,has_an_organizing_committee,Property,-1,1,0
12,has_an_organizing_committee,Property,-1,1,0
13,is_part_of_conference_volumes,Property,-1,1,0
13,is_part_of_conference_volumes,Property,-1,1,0
14,has_a_steering_committee,Property,-1,1,0
32,has_a_commtitee,Property,-1,1,0
32,has_a_commtitee,Property,-1,1,1
15,has_a_committee_chair,Property,-1,1,0
15,has_a_committee_chair,Property,-1,1,0
16,invited_by,Property,-1,1,0
16,invited_by,Property,-1,1,0
17,has_workshops,Property,-1,1,0
17,has_workshops,Property,-1,1,0
18,has_contributions,Property,-1,1,0
18,has_contributions,Property,-1,1,0
19,has_tracks,Property,-1,1,0
19,has_tracks,Property,-1,1,0
20,was_a_steering_committee_of,Property,-1,1,0
38,was_a_committee_of,Property,-1,1,0
38,was_a_committee_of,Property,-1,1,1
21,is_a_topis_of_conference_parts,Property,-1,1,0
21,is_a_topis_of_conference_parts,Property,-1,1,0
22,was_a_track-workshop_chair_of,Property,-1,1,0
22,was_a_track-workshop_chair_of,Property,-1,1,0
23,has_a_program_committee,Property,-1,1,0
32,has_a_commtitee,Property,-1,1,0
32,has_a_commtitee,Property,-1,1,1
24,has_a_track-workshop-tutorial_chair,Property,-1,1,0
24,has_a_track-workshop-tutorial_chair,Property,-1,1,0
25,has_a_review_reference_or_expertise,Property,-1,1,0
25,has_a_review_reference_or_expertise,Property,-1,1,0
26,gives_presentations,Property,-1,1,0
26,gives_presentations,Property,-1,1,0
27,has_a_committee_co-chair,Property,-1,1,0
27,has_a_committee_co-chair,Property,-1,1,0
28,has_a_topic_or_a_submission_contribution,Property,-1,1,0
28,has_a_topic_or_a_submission_contribution,Property,-1,1,0
29,has_members,Property,-1,1,0
29,has_members,Property,-1,1,0
30,contributes,Property,-1,1,0
30,contributes,Property,-1,1,0
31,was_a_committe_co-chair_of,Property,-1,1,0
40,was_a_member_of,Property,-1,1,0
40,was_a_member_of,Property,-1,1,1
32,has_a_commtitee,Property,-1,1,0
32,has_a_commtitee,Property,-1,1,0
33,has_been_assigned_a_review_reference,Property,-1,1,0
33,has_been_assigned_a_review_reference,Property,-1,1,0
34,was_an_organizing_committee_of,Property,-1,1,0
38,was_a_committee_of,Property,-1,1,0
38,was_a_committee_of,Property,-1,1,1
35,has_a_submitted_contribution,Property,-1,1,0
35,has_a_submitted_contribution,Property,-1,1,0
36,has_a_publisher,Property,-1,1,0
36,has_a_publisher,Property,-1,1,0
37,is_the_1th_part_of,Property,-1,1,0
37,is_the_1th_part_of,Property,-1,1,0
38,was_a_committee_of,Property,-1,1,0
38,was_a_committee_of,Property,-1,1,0
39,reviews,Property,-1,1,0
39,reviews,Property,-1,1,0
40,was_a_member_of,Property,-1,1,0
40,was_a_member_of,Property,-1,1,0
41,issues,Property,-1,1,0
41,issues,Property,-1,1,0
42,has_authors,Property,-1,1,0
42,has_authors,Property,-1,1,0
43,belongs_to_a_review_reference,Property,-1,1,0
43,belongs_to_a_review_reference,Property,-1,1,0
