nodeNumber,node,visits
0,Contribution_co-author,4
1,Conference_www,4
2,Active_conference_participant,4
3,Contribution_1th-author,4
4,Extended_abstract,8
5,Accepted_contribution,8
6,Conference_part,16
7,Track,4
8,Paper,4
9,Track-workshop_chair,4
10,Review_preference,4
11,Submitted_contribution,20
12,Invited_speaker,4
13,Reviewer,4
14,Committee,16
15,Chair,4
16,Review,4
17,Information_for_participants,4
18,Conference_applicant,20
19,Registeered_applicant,16
20,Rejected_contribution,4
21,Written_contribution,40
22,Early_paid_applicant,4
23,Conference_proceedings,4
24,Reviewed_contribution,16
25,Camera_ready_contribution,4
26,Conference_participant,9
27,Committee_member,12
28,Publisher,4
29,Review_expertise,4
30,Presentation,8
31,Conference_volume,4
32,Tutorial,4
33,Regular_author,12
34,Conference_contributor,23
35,Abstract,4
36,Conference_fees,4
37,Paid_applicant,12
38,Workshop,4
39,Call_for_participation,4
40,Person,76
41,Conference_contribution,56
42,Poster,4
43,Steering_committee,4
44,Co-chair,4
45,Program_committee,4
46,Organizing_committee,4
47,Conference,8
48,Important_dates,4
49,Conference_document,84
50,Organization,4
51,Invited_talk,4
52,Regular_contribution,16
53,Organizer,4
54,Topic,4
55,Late_paid_applicant,4
56,Passive_conference_participant,4
57,Call_for_paper,4
58,Conference_announcement,4
