rootId,root,childId,child,incremental visits
2,was_a_committee_chair_of,40,was_a_member_of,1
3,was_a_program_committee_of,38,was_a_committee_of,1
10,has_tutorials,0,has_parts,2
12,has_an_organizing_committee,32,has_a_commtitee,1
14,has_a_steering_committee,32,has_a_commtitee,2
15,has_a_committee_chair,29,has_members,1
17,has_workshops,0,has_parts,3
19,has_tracks,0,has_parts,4
20,was_a_steering_committee_of,38,was_a_committee_of,2
23,has_a_program_committee,32,has_a_commtitee,3
27,has_a_committee_co-chair,29,has_members,2
31,was_a_committe_co-chair_of,40,was_a_member_of,2
34,was_an_organizing_committee_of,38,was_a_committee_of,3
2,was_a_committee_chair_of,40,was_a_member_of,4
3,was_a_program_committee_of,38,was_a_committee_of,5
10,has_tutorials,0,has_parts,6
12,has_an_organizing_committee,32,has_a_commtitee,5
14,has_a_steering_committee,32,has_a_commtitee,6
15,has_a_committee_chair,29,has_members,4
17,has_workshops,0,has_parts,7
19,has_tracks,0,has_parts,8
20,was_a_steering_committee_of,38,was_a_committee_of,6
23,has_a_program_committee,32,has_a_commtitee,7
27,has_a_committee_co-chair,29,has_members,5
31,was_a_committe_co-chair_of,40,was_a_member_of,5
34,was_an_organizing_committee_of,38,was_a_committee_of,7
2,was_a_committee_chair_of,40,was_a_member_of,7
3,was_a_program_committee_of,38,was_a_committee_of,9
10,has_tutorials,0,has_parts,10
12,has_an_organizing_committee,32,has_a_commtitee,9
14,has_a_steering_committee,32,has_a_commtitee,10
15,has_a_committee_chair,29,has_members,7
17,has_workshops,0,has_parts,11
19,has_tracks,0,has_parts,12
20,was_a_steering_committee_of,38,was_a_committee_of,10
23,has_a_program_committee,32,has_a_commtitee,11
27,has_a_committee_co-chair,29,has_members,8
31,was_a_committe_co-chair_of,40,was_a_member_of,8
34,was_an_organizing_committee_of,38,was_a_committee_of,11
2,was_a_committee_chair_of,40,was_a_member_of,10
3,was_a_program_committee_of,38,was_a_committee_of,13
10,has_tutorials,0,has_parts,14
12,has_an_organizing_committee,32,has_a_commtitee,13
14,has_a_steering_committee,32,has_a_commtitee,14
15,has_a_committee_chair,29,has_members,10
17,has_workshops,0,has_parts,15
19,has_tracks,0,has_parts,16
20,was_a_steering_committee_of,38,was_a_committee_of,14
23,has_a_program_committee,32,has_a_commtitee,15
27,has_a_committee_co-chair,29,has_members,11
31,was_a_committe_co-chair_of,40,was_a_member_of,11
34,was_an_organizing_committee_of,38,was_a_committee_of,15
