nodeNumber,node,visits
0,has_parts,9
1,is_given_by,0
2,was_a_committee_chair_of,2
3,was_a_program_committee_of,2
4,is_submitted_at,3
5,belong_to_a_conference_volume,3
6,has_a_review,1
7,belongs_to_reviewers,2
8,has_a_review_expertise,4
9,invites_co-reviewers,2
10,has_tutorials,3
11,has_a_track-workshop-tutorial_topic,0
12,has_an_organizing_committee,2
13,is_part_of_conference_volumes,5
14,has_a_steering_committee,1
15,has_a_committee_chair,1
16,invited_by,5
17,has_workshops,3
18,has_contributions,3
19,has_tracks,3
20,was_a_steering_committee_of,5
21,is_a_topis_of_conference_parts,3
22,was_a_track-workshop_chair_of,0
23,has_a_program_committee,1
24,has_a_track-workshop-tutorial_chair,3
25,has_a_review_reference_or_expertise,2
26,gives_presentations,0
27,has_a_committee_co-chair,3
28,has_a_topic_or_a_submission_contribution,1
29,has_members,7
30,contributes,2
31,was_a_committe_co-chair_of,0
32,has_a_commtitee,7
33,has_been_assigned_a_review_reference,4
34,was_an_organizing_committee_of,4
35,has_a_submitted_contribution,4
36,has_a_publisher,1
37,is_the_1th_part_of,3
38,was_a_committee_of,14
39,reviews,3
40,was_a_member_of,3
41,issues,1
42,has_authors,2
43,belongs_to_a_review_reference,1
44,has_important_dates,1
45,has_an_abstract,1
