rootId,root,childId,child,incremental visits
0,Contribution_co-author,33,Regular_author,1
33,Regular_author,34,Conference_contributor,1
34,Conference_contributor,40,Person,1
1,Conference_www,49,Conference_document,1
2,Active_conference_participant,34,Conference_contributor,2
34,Conference_contributor,40,Person,2
3,Contribution_1th-author,33,Regular_author,2
33,Regular_author,34,Conference_contributor,3
34,Conference_contributor,40,Person,3
4,Extended_abstract,52,Regular_contribution,1
52,Regular_contribution,21,Written_contribution,1
21,Written_contribution,41,Conference_contribution,1
41,Conference_contribution,49,Conference_document,2
5,Accepted_contribution,24,Reviewed_contribution,1
24,Reviewed_contribution,11,Submitted_contribution,1
11,Submitted_contribution,21,Written_contribution,2
21,Written_contribution,41,Conference_contribution,2
41,Conference_contribution,49,Conference_document,3
7,Track,6,Conference_part,2
8,Paper,52,Regular_contribution,2
52,Regular_contribution,21,Written_contribution,3
21,Written_contribution,41,Conference_contribution,3
41,Conference_contribution,49,Conference_document,4
9,Track-workshop_chair,40,Person,4
11,Submitted_contribution,21,Written_contribution,4
21,Written_contribution,41,Conference_contribution,4
41,Conference_contribution,49,Conference_document,5
12,Invited_speaker,34,Conference_contributor,4
34,Conference_contributor,40,Person,5
13,Reviewer,40,Person,6
15,Chair,27,Committee_member,1
27,Committee_member,40,Person,7
16,Review,49,Conference_document,6
17,Information_for_participants,49,Conference_document,7
18,Conference_applicant,40,Person,8
19,Registeered_applicant,18,Conference_applicant,2
18,Conference_applicant,40,Person,9
20,Rejected_contribution,24,Reviewed_contribution,2
24,Reviewed_contribution,11,Submitted_contribution,3
11,Submitted_contribution,21,Written_contribution,5
21,Written_contribution,41,Conference_contribution,5
41,Conference_contribution,49,Conference_document,8
21,Written_contribution,41,Conference_contribution,6
41,Conference_contribution,49,Conference_document,9
22,Early_paid_applicant,37,Paid_applicant,1
37,Paid_applicant,19,Registeered_applicant,2
19,Registeered_applicant,18,Conference_applicant,3
18,Conference_applicant,40,Person,10
24,Reviewed_contribution,11,Submitted_contribution,4
11,Submitted_contribution,21,Written_contribution,7
21,Written_contribution,41,Conference_contribution,7
41,Conference_contribution,49,Conference_document,10
25,Camera_ready_contribution,5,Accepted_contribution,2
5,Accepted_contribution,24,Reviewed_contribution,4
24,Reviewed_contribution,11,Submitted_contribution,5
11,Submitted_contribution,21,Written_contribution,8
21,Written_contribution,41,Conference_contribution,8
41,Conference_contribution,49,Conference_document,11
26,Conference_participant,40,Person,11
27,Committee_member,40,Person,12
30,Presentation,41,Conference_contribution,9
41,Conference_contribution,49,Conference_document,12
31,Conference_volume,47,Conference,1
32,Tutorial,6,Conference_part,3
33,Regular_author,34,Conference_contributor,5
34,Conference_contributor,40,Person,13
34,Conference_contributor,40,Person,14
35,Abstract,4,Extended_abstract,2
4,Extended_abstract,52,Regular_contribution,3
52,Regular_contribution,21,Written_contribution,9
21,Written_contribution,41,Conference_contribution,10
41,Conference_contribution,49,Conference_document,13
37,Paid_applicant,19,Registeered_applicant,3
19,Registeered_applicant,18,Conference_applicant,4
18,Conference_applicant,40,Person,15
38,Workshop,6,Conference_part,4
39,Call_for_participation,49,Conference_document,14
41,Conference_contribution,49,Conference_document,15
42,Poster,41,Conference_contribution,12
41,Conference_contribution,49,Conference_document,16
43,Steering_committee,14,Committee,2
44,Co-chair,27,Committee_member,3
27,Committee_member,40,Person,17
45,Program_committee,14,Committee,3
46,Organizing_committee,14,Committee,4
51,Invited_talk,30,Presentation,2
30,Presentation,41,Conference_contribution,13
41,Conference_contribution,49,Conference_document,18
52,Regular_contribution,21,Written_contribution,10
21,Written_contribution,41,Conference_contribution,14
41,Conference_contribution,49,Conference_document,19
55,Late_paid_applicant,37,Paid_applicant,3
37,Paid_applicant,19,Registeered_applicant,4
19,Registeered_applicant,18,Conference_applicant,5
18,Conference_applicant,40,Person,18
56,Passive_conference_participant,26,Conference_participant,2
26,Conference_participant,40,Person,19
57,Call_for_paper,49,Conference_document,20
58,Conference_announcement,49,Conference_document,21
