nodeId,nodeName,nodeType,nodeLevel,loop,hop
0,Contribution_co-author,Class,-1,0,0
33,Regular_author,Class,-1,0,0
33,Regular_author,Class,-1,0,1
1,Conference_www,Class,-1,0,0
1,Conference_www,Class,-1,0,0
2,Active_conference_participant,Class,-1,0,0
34,Conference_contributor,Class,-1,0,0
40,Person,Class,-1,0,1
40,Person,Class,-1,0,2
3,Contribution_1th-author,Class,-1,0,0
33,Regular_author,Class,-1,0,0
33,Regular_author,Class,-1,0,1
4,Extended_abstract,Class,-1,0,0
52,Regular_contribution,Class,-1,0,0
52,Regular_contribution,Class,-1,0,1
5,Accepted_contribution,Class,-1,0,0
24,Reviewed_contribution,Class,-1,0,0
11,Submitted_contribution,Class,-1,0,1
21,Written_contribution,Class,-1,0,2
41,Conference_contribution,Class,-1,0,3
41,Conference_contribution,Class,-1,0,4
6,Conference_part,Class,-1,0,0
6,Conference_part,Class,-1,0,0
7,Track,Class,-1,0,0
7,Track,Class,-1,0,0
8,Paper,Class,-1,0,0
52,Regular_contribution,Class,-1,0,0
21,Written_contribution,Class,-1,0,1
21,Written_contribution,Class,-1,0,2
9,Track-workshop_chair,Class,-1,0,0
40,Person,Class,-1,0,0
40,Person,Class,-1,0,1
10,Review_preference,Class,-1,0,0
10,Review_preference,Class,-1,0,0
11,Submitted_contribution,Class,-1,0,0
21,Written_contribution,Class,-1,0,0
41,Conference_contribution,Class,-1,0,1
49,Conference_document,Class,-1,0,2
49,Conference_document,Class,-1,0,3
12,Invited_speaker,Class,-1,0,0
34,Conference_contributor,Class,-1,0,0
40,Person,Class,-1,0,1
40,Person,Class,-1,0,2
13,Reviewer,Class,-1,0,0
40,Person,Class,-1,0,0
40,Person,Class,-1,0,1
14,Committee,Class,-1,0,0
14,Committee,Class,-1,0,0
15,Chair,Class,-1,0,0
15,Chair,Class,-1,0,0
16,Review,Class,-1,0,0
16,Review,Class,-1,0,0
17,Information_for_participants,Class,-1,0,0
49,Conference_document,Class,-1,0,0
49,Conference_document,Class,-1,0,1
18,Conference_applicant,Class,-1,0,0
40,Person,Class,-1,0,0
40,Person,Class,-1,0,1
19,Registeered_applicant,Class,-1,0,0
19,Registeered_applicant,Class,-1,0,0
20,Rejected_contribution,Class,-1,0,0
20,Rejected_contribution,Class,-1,0,0
21,Written_contribution,Class,-1,0,0
41,Conference_contribution,Class,-1,0,0
41,Conference_contribution,Class,-1,0,1
22,Early_paid_applicant,Class,-1,0,0
22,Early_paid_applicant,Class,-1,0,0
23,Conference_proceedings,Class,-1,0,0
23,Conference_proceedings,Class,-1,0,0
24,Reviewed_contribution,Class,-1,0,0
24,Reviewed_contribution,Class,-1,0,0
25,Camera_ready_contribution,Class,-1,0,0
5,Accepted_contribution,Class,-1,0,0
24,Reviewed_contribution,Class,-1,0,1
24,Reviewed_contribution,Class,-1,0,2
26,Conference_participant,Class,-1,0,0
26,Conference_participant,Class,-1,0,0
27,Committee_member,Class,-1,0,0
40,Person,Class,-1,0,0
40,Person,Class,-1,0,1
28,Publisher,Class,-1,0,0
28,Publisher,Class,-1,0,0
29,Review_expertise,Class,-1,0,0
29,Review_expertise,Class,-1,0,0
30,Presentation,Class,-1,0,0
41,Conference_contribution,Class,-1,0,0
41,Conference_contribution,Class,-1,0,1
31,Conference_volume,Class,-1,0,0
47,Conference,Class,-1,0,0
47,Conference,Class,-1,0,1
