nodeNumber,node,visits
0,Contribution_co-author,0
1,Conference_www,0
2,Active_conference_participant,0
3,Contribution_1th-author,0
4,Extended_abstract,0
5,Accepted_contribution,0
6,Conference_part,0
7,Track,0
8,Paper,0
9,Track-workshop_chair,0
10,Review_preference,0
11,Submitted_contribution,0
12,Invited_speaker,0
13,Reviewer,0
14,Committee,0
15,Chair,0
16,Review,0
17,Information_for_participants,0
18,Conference_applicant,0
19,Registeered_applicant,0
20,Rejected_contribution,0
21,Written_contribution,1
22,Early_paid_applicant,0
23,Conference_proceedings,0
24,Reviewed_contribution,0
25,Camera_ready_contribution,0
26,Conference_participant,1
27,Committee_member,0
28,Publisher,0
29,Review_expertise,0
30,Presentation,0
31,Conference_volume,1
32,Tutorial,0
33,Regular_author,0
34,Conference_contributor,0
35,Abstract,0
36,Conference_fees,0
37,Paid_applicant,0
38,Workshop,0
39,Call_for_participation,0
40,Person,1
41,Conference_contribution,1
42,Poster,0
43,Steering_committee,0
44,Co-chair,0
45,Program_committee,0
46,Organizing_committee,0
47,Conference,1
48,Important_dates,0
49,Conference_document,1
50,Organization,0
51,Invited_talk,0
52,Regular_contribution,1
53,Organizer,0
54,Topic,0
55,Late_paid_applicant,0
56,Passive_conference_participant,1
57,Call_for_paper,0
58,Conference_announcement,0
