nodeNumber,node,visits
0,has_parts,4
1,is_given_by,1
2,was_a_committee_chair_of,1
3,was_a_program_committee_of,1
4,is_submitted_at,1
5,belong_to_a_conference_volume,1
6,has_a_review,1
7,belongs_to_reviewers,1
8,has_a_review_expertise,1
9,invites_co-reviewers,1
10,has_tutorials,1
11,has_a_track-workshop-tutorial_topic,1
12,has_an_organizing_committee,1
13,is_part_of_conference_volumes,1
14,has_a_steering_committee,1
15,has_a_committee_chair,1
16,invited_by,1
17,has_workshops,1
18,has_contributions,1
19,has_tracks,1
20,was_a_steering_committee_of,1
21,is_a_topis_of_conference_parts,1
22,was_a_track-workshop_chair_of,1
23,has_a_program_committee,1
24,has_a_track-workshop-tutorial_chair,1
25,has_a_review_reference_or_expertise,1
26,gives_presentations,1
27,has_a_committee_co-chair,1
28,has_a_topic_or_a_submission_contribution,1
29,has_members,3
30,contributes,1
31,was_a_committe_co-chair_of,1
32,has_a_commtitee,4
33,has_been_assigned_a_review_reference,1
34,was_an_organizing_committee_of,1
35,has_a_submitted_contribution,1
36,has_a_publisher,1
37,is_the_1th_part_of,1
38,was_a_committee_of,4
39,reviews,1
40,was_a_member_of,3
41,issues,1
42,has_authors,1
43,belongs_to_a_review_reference,1
44,has_important_dates,1
45,has_an_abstract,1
