nodeNumber,node,visits
0,Contribution_co-author,0
1,Conference_www,4
2,Active_conference_participant,3
3,Contribution_1th-author,1
4,Extended_abstract,2
5,Accepted_contribution,2
6,Conference_part,5
7,Track,1
8,Paper,2
9,Track-workshop_chair,4
10,Review_preference,0
11,Submitted_contribution,5
12,Invited_speaker,2
13,Reviewer,3
14,Committee,4
15,Chair,3
16,Review,1
17,Information_for_participants,3
18,Conference_applicant,7
19,Registeered_applicant,6
20,Rejected_contribution,0
21,Written_contribution,11
22,Early_paid_applicant,2
23,Conference_proceedings,2
24,Reviewed_contribution,5
25,Camera_ready_contribution,2
26,Conference_participant,7
27,Committee_member,9
28,Publisher,1
29,Review_expertise,0
30,Presentation,3
31,Conference_volume,0
32,Tutorial,0
33,Regular_author,2
34,Conference_contributor,7
35,Abstract,0
36,Conference_fees,3
37,Paid_applicant,5
38,Workshop,2
39,Call_for_participation,2
40,Person,41
41,Conference_contribution,17
42,Poster,2
43,Steering_committee,0
44,Co-chair,5
45,Program_committee,1
46,Organizing_committee,2
47,Conference,2
48,Important_dates,1
49,Conference_document,37
50,Organization,1
51,Invited_talk,2
52,Regular_contribution,5
53,Organizer,2
54,Topic,1
55,Late_paid_applicant,1
56,Passive_conference_participant,1
57,Call_for_paper,4
58,Conference_announcement,4
